id,addr,cluster,demand_delivery,demand_pickup,x,y,is_depot,service_time,tw_open,tw_close
0,0,0,0,0,499090.0,4792870.0,True,0,,
1,2.1,1,0,15,499115.0,4795417.0,False,11,617.0,1104.0
2,2.2,1,0,5,498881.0,4795695.0,False,15,615.0,1035.0
3,2.3,1,0,26,498673.0,4795376.0,False,14,575.0,1069.0
4,2.4,1,0,0,498739.0,4795896.0,False,8,563.0,1116.0
5,2.5,1,0,0,498526.0,4795774.0,True,0,,
6,2.6,1,0,0,498130.0,4795490.0,False,5,360.0,780.0
7,2.7,1,28,0,498516.0,4796163.0,False,10,424.0,844.0
8,2.8,1,28,0,498272.0,4795868.0,False,5,491.0,911.0
9,2.9,1,12,0,498175.0,4796298.0,False,13,631.0,1147.0
10,2.10,1,0,5,498015.0,4795931.0,False,15,562.0,1155.0
11,4.1,3,12,0,496661.0,4791462.0,False,15,507.0,927.0
12,4.2,3,0,0,496209.0,4793224.0,False,11,544.0,979.0
13,4.3,3,29,0,496473.0,4792856.0,False,10,629.0,1049.0
14,4.4,3,29,0,496257.0,4792579.0,False,15,596.0,1016.0
15,4.5,3,12,0,494399.0,4793788.0,False,8,603.0,1068.0
16,4.6,3,12,0,494831.0,4793468.0,False,6,599.0,1052.0
17,4.7,3,0,26,495318.0,4793183.0,False,5,580.0,1142.0
18,4.8,3,0,0,495617.0,4792600.0,False,10,700.0,1120.0
19,4.9,3,0,16,495477.0,4792337.0,False,9,507.0,1180.0
20,4.10,3,12,0,494886.0,4792830.0,False,7,534.0,954.0
21,6.1,5,0,16,501721.0,4791088.0,False,10,414.0,834.0
22,6.2,5,12,0,502201.0,4791449.0,False,8,625.0,1121.0
23,6.3,5,0,26,502459.0,4790936.0,False,13,472.0,892.0
24,6.4,5,29,0,502667.0,4792691.0,False,15,610.0,1030.0
25,6.5,5,0,16,502946.0,4792171.0,False,11,553.0,973.0
26,6.6,5,0,5,503197.0,4791554.0,False,13,360.0,780.0
27,6.7,5,0,26,503350.0,4791977.0,False,8,565.0,985.0
28,6.8,5,0,0,503929.0,4790770.0,False,13,482.0,902.0
29,6.9,5,0,16,503998.0,4791707.0,False,13,457.0,877.0
30,6.10,5,0,5,504151.0,4791353.0,False,5,548.0,968.0
31,8.1,7,0,16,506360.0,4790438.0,False,7,377.0,797.0
32,8.2,7,0,5,506490.0,4789488.0,False,11,667.0,1178.0
33,8.3,7,0,0,506515.0,4788877.0,True,0,,
34,8.4,7,29,0,505611.0,4790028.0,False,6,598.0,1018.0
35,8.5,7,0,16,505654.0,4788900.0,False,9,554.0,1158.0
36,8.6,7,12,0,505089.0,4790292.0,False,12,462.0,882.0
37,8.7,7,29,0,505127.0,4789903.0,False,11,558.0,1158.0
38,8.8,7,29,0,505034.0,4789160.0,False,10,376.0,796.0
39,8.9,7,0,16,504608.0,4790038.0,False,5,675.0,1095.0
40,8.10,7,12,0,504431.0,4789573.0,False,13,714.0,1171.0
41,10.1,9,0,16,499663.0,4790455.0,False,13,579.0,999.0
42,10.2,9,12,0,499588.0,4790334.0,False,9,610.0,1030.0
43,10.3,9,0,26,499229.0,4790323.0,False,6,467.0,887.0
44,10.4,9,0,0,498971.0,4790157.0,False,13,561.0,1173.0
45,10.5,9,0,16,498973.0,4790007.0,False,12,658.0,1142.0
46,10.6,9,0,5,498602.0,4790280.0,False,6,569.0,989.0
47,10.7,9,0,26,498564.0,4790018.0,False,6,603.0,1122.0
48,10.8,9,0,0,498475.0,4789858.0,False,9,416.0,836.0
49,10.9,9,12,0,498346.0,4790124.0,False,7,537.0,991.0
50,10.10,9,0,5,498127.0,4790145.0,False,9,626.0,1118.0
